pais,cantidad_tipos_redes
ESTADOS UNIDOS DE AMÉRICA,6
REINO DE BÉLGICA,6
REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,5
REINO  DE  ESPAÑA,5
REPÚBLICA  ITALIANA,5
CANADÁ,5
REPÚBLICA  DEL  PARAGUAY,4
REPÚBLICA  FEDERATIVA  DEL  BRASIL,4
REPÚBLICA  ORIENTAL  DEL  URUGUAY,4
SANTA  SEDE,4
CONFEDERACIÓN SUIZA,4
ESTADOS  UNIDOS  MEXICANOS,4
REPÚBLICA  TUNECINA,4
REPÚBLICA  DE  AZERBAIYÁN,3
REPÚBLICA  DE  ARMENIA,3
REPÚBLICA  ÁRABE  DE  EGIPTO,3
REPÚBLICA  DEL  ECUADOR,3
REPÚBLICA  BOLIVARIANA  DE  VENEZUELA,3
REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,3
REPÚBLICA  DE  EL  SALVADOR,3
JAMAICA,3
REINO  DE  SUECIA,3
REPÚBLICA  DE  AUSTRIA,3
REPÚBLICA  DE  FILIPINAS,3
REINO  DE  ARABIA  SAUDITA,3
REPÚBLICA  DE  CHILE,3
REPÚBLICA  DEMOCRÁTICA  FEDERAL  DE  ETIOPÍA,3
REPÚBLICA  DE  LA  INDIA,3
REPÚBLICA  DE  SUDÁFRICA,3
REPÚBLICA  DE  ANGOLA,2
REPÚBLICA  CHECA,2
UCRANIA,2
JAPÓN,2
REPÚBLICA  DE  FINLANDIA,2
REPÚBLICA  DE  KENYA,2
REINO  DE  MARRUECOS,2
REINO  DE  NORUEGA,2
REINO  DE  LOS  PAÍSES  BAJOS,2
REPÚBLICA  DE  MOZAMBIQUE,2
REPÚBLICA  DE  COLOMBIA,2
REPÚBLICA  DE  TRINIDAD  Y  TOBAGO,2
REPÚBLICA  DE  SINGAPUR,2
AUSTRALIA,2
RUMANIA,2
REPÚBLICA  DEL  PERÚ,2
REPÚBLICA  FRANCESA,2
IRLANDA,2
REPÚBLICA  FEDERAL  DE  ALEMANIA,2
REPÚBLICA  DE  COREA,2
REPÚBLICA  SOCIALISTA  DE  VIETNAM,2
REPÚBLICA  FEDERAL  DE  NIGERIA,2
REPÚBLICA  HELÉNICA,2
FEDERACIÓN  DE  RUSIA,2
REPÚBLICA  DE  BULGARIA,2
ESTADO  DE  ISRAEL,2
ESTADO  PLURINACIONAL  DE  BOLIVIA,2
REINO  DE  TAILANDIA,1
ESTADO  DE  PALESTINA,1
REPÚBLICA  DE  NICARAGUA,1
REPÚBLICA  DE TURQUÍA,1
REPÚBLICA  DOMINICANA,1
ESTADO  DE  QATAR,1
REPÚBLICA  DE  PANAMÁ,1
REPÚBLICA  DE  SENEGAL,1
REPÚBLICA  ÁRABE  SIRIA,1
MALASIA,1
ESTADO  DE  KUWAIT,1
REPÚBLICA  DE  INDONESIA,1
EMIRATOS  ÁRABES  UNIDOS,1
REPÚBLICA  LIBANESA,1
BARBADOS,1
HUNGRÍA,1
REPÚBLICA  DE  POLONIA,1
REPÚBLICA  POPULAR  DE  CHINA,1
REPÚBLICA  ISLÁMICA  DE  PAKISTÁN,1
REPÚBLICA  DE  SERBIA,1
REPÚBLICA  DE  COSTA  RICA,1
REPÚBLICA  DE  HONDURAS,1
REPÚBLICA  DE  CUBA,1
REINO  DE  DINAMARCA,1
